parameter,project_code,data_source,borehole_code,sample_code,sample_depth_top_m,sample_description,laboratory,laboratory_test_code,test_date,test_type,test_standard,test_parameters[0].description,test_parameters[0].value,test_parameters[0].units,test_parameters[1].description,test_parameters[1].value,test_parameters[1].units,test_comment,measurement_convention,value,value_unit,value_scale,value_likelihood,lithology
sigma_c,NT1,Laboratory,NT1-14,14-1,28.90,Construction Design,KhonKaen University,33,12.05.2017,Uniaxial compression,ASTM D7012 D,,,,,,,,,56.01,MPa,Laboratory,Data point,Red Sandstone
sigma_c,NT1,Laboratory,NT1-14,14-2,36.80,Construction Design,KhonKaen University,34,12.05.2017,Uniaxial compression,ASTM D7012 D,,,,,,,,,106.68,MPa,Laboratory,Data point,Red Sandstone
sigma_c,NT1,Laboratory,NT1-14,14-3,37.30,Construction Design,KhonKaen University,35,12.05.2017,Uniaxial compression,ASTM D7012 D,,,,,,,,,126.68,MPa,Laboratory,Data point,Red Sandstone
sigma_c,NT1,Laboratory,NT1-14,14-4,37.30,Construction Design,KhonKaen University,36,12.05.2017,Uniaxial compression,ASTM D7012 D,,,,,,,,,78.68,MPa,Laboratory,Data point,Red Sandstone
sigma_c,NT1,Laboratory,NT1-14,14-5,56.80,Construction Design,KhonKaen University,37,12.05.2017,Uniaxial compression,ASTM D7012 D,,,,,,,,,105.35,MPa,Laboratory,Data point,Red Sandstone
sigma_c,NT1,Laboratory,NT1-15,15-1,32.20,Construction Design,KhonKaen University,38,12.05.2017,Uniaxial compression,ASTM D7012 D,,,,,,,,,20.67,MPa,Laboratory,Data point,Siltstone
sigma_c,NT1,Laboratory,NT1-18,18-1,23.50,Construction Design,KhonKaen University,39,12.05.2017,Uniaxial compression,ASTM D7012 D,,,,,,,,,22.04,MPa,Laboratory,Data point,Siltstone
sigma_c,NT1,Laboratory,NT1-18,18-2,23.50,Construction Design,KhonKaen University,40,12.05.2017,Uniaxial compression,ASTM D7012 D,,,,,,,,,19.98,MPa,Laboratory,Data point,Siltstone
sigma_c,NT1,Laboratory,NT1-19,19-1,63.60,Construction Design,KhonKaen University,41,12.05.2017,Uniaxial compression,ASTM D7012 D,,,,,,,,,36.06,MPa,Laboratory,Data point,Siltstone
sigma_c,NT1,Laboratory,NT1-19,19-2,63.60,Construction Design,KhonKaen University,42,12.05.2017,Uniaxial compression,ASTM D7012 D,,,,,,,,,19.29,MPa,Laboratory,Data point,Siltstone
sigma_c,NT1,Laboratory,NT1-21,21-1,61.00,Construction Design,KhonKaen University,43,12.05.2017,Uniaxial compression,ASTM D7012 D,,,,,,,,,8.46,MPa,Laboratory,Data point,Siltstone
sigma_c,NT1,Laboratory,NT1-21,21-2,61.00,Construction Design,KhonKaen University,44,12.05.2017,Uniaxial compression,ASTM D7012 D,,,,,,,,,9.77,MPa,Laboratory,Data point,Siltstone
sigma_c,NT1,Laboratory,NT1-21,21-3,66.90,Construction Design,KhonKaen University,45,12.05.2017,Uniaxial compression,ASTM D7012 D,,,,,,,,,28.93,MPa,Laboratory,Data point,Siltstone
sigma_c,NT1,Laboratory,NT1-21,21-4,66.90,Construction Design,KhonKaen University,46,12.05.2017,Uniaxial compression,ASTM D7012 D,,,,,,,,,28.93,MPa,Laboratory,Data point,Siltstone
sigma_c,NT1,Laboratory,NT1-DL-01,01-01,20.60,Construction Design,KhonKaen University,47,13.05.2017,Uniaxial compression,ASTM D7012 D,,,,,,,,,19.13,MPa,Laboratory,Data point,Siltstone
sigma_c,NT1,Laboratory,NT1-DL-01,01-02,20.60,Construction Design,KhonKaen University,48,13.05.2017,Uniaxial compression,ASTM D7012 D,,,,,,,,,24.67,MPa,Laboratory,Data point,Siltstone
sigma_c,NT1,Laboratory,NT1-DL-01,01-03,22.40,Construction Design,KhonKaen University,49,13.05.2017,Uniaxial compression,ASTM D7012 D,,,,,,,,,15.30,MPa,Laboratory,Data point,Siltstone
E,NT1,Laboratory,NT1-14,14-1,28.90,Construction Design,KhonKaen University,33,12.05.2017,E measured during uniaxial compression,ASTM D7012 D,,,,,,,,E50,13200.00,MPa,Laboratory,Data point,Red Sandstone
E,NT1,Laboratory,NT1-14,14-2,36.80,Construction Design,KhonKaen University,34,12.05.2017,E measured during uniaxial compression,ASTM D7012 D,,,,,,,,E50,51400.00,MPa,Laboratory,Data point,Red Sandstone
E,NT1,Laboratory,NT1-14,14-3,37.30,Construction Design,KhonKaen University,35,12.05.2017,E measured during uniaxial compression,ASTM D7012 D,,,,,,,,E50,17800.00,MPa,Laboratory,Data point,Red Sandstone
E,NT1,Laboratory,NT1-14,14-4,37.30,Construction Design,KhonKaen University,36,12.05.2017,E measured during uniaxial compression,ASTM D7012 D,,,,,,,,E50,19700.00,MPa,Laboratory,Data point,Red Sandstone
E,NT1,Laboratory,NT1-14,14-5,56.80,Construction Design,KhonKaen University,37,12.05.2017,E measured during uniaxial compression,ASTM D7012 D,,,,,,,,E50,22100.00,MPa,Laboratory,Data point,Red Sandstone
E,NT1,Laboratory,NT1-15,15-1,32.20,Construction Design,KhonKaen University,38,12.05.2017,E measured during uniaxial compression,ASTM D7012 D,,,,,,,,E50,4170.00,MPa,Laboratory,Data point,Siltstone
E,NT1,Laboratory,NT1-18,18-1,23.50,Construction Design,KhonKaen University,39,12.05.2017,E measured during uniaxial compression,ASTM D7012 D,,,,,,,,E50,6760.00,MPa,Laboratory,Data point,Siltstone
E,NT1,Laboratory,NT1-18,18-2,23.50,Construction Design,KhonKaen University,40,12.05.2017,E measured during uniaxial compression,ASTM D7012 D,,,,,,,,E50,2790.00,MPa,Laboratory,Data point,Siltstone
E,NT1,Laboratory,NT1-19,19-1,63.60,Construction Design,KhonKaen University,41,12.05.2017,E measured during uniaxial compression,ASTM D7012 D,,,,,,,,E50,11400.00,MPa,Laboratory,Data point,Siltstone
E,NT1,Laboratory,NT1-19,19-2,63.60,Construction Design,KhonKaen University,42,12.05.2017,E measured during uniaxial compression,ASTM D7012 D,,,,,,,,E50,20700.00,MPa,Laboratory,Data point,Siltstone
E,NT1,Laboratory,NT1-21,21-1,61.00,Construction Design,KhonKaen University,43,12.05.2017,E measured during uniaxial compression,ASTM D7012 D,,,,,,,,E50,4290.00,MPa,Laboratory,Data point,Siltstone
E,NT1,Laboratory,NT1-21,21-2,61.00,Construction Design,KhonKaen University,44,12.05.2017,E measured during uniaxial compression,ASTM D7012 D,,,,,,,,E50,7780.00,MPa,Laboratory,Data point,Siltstone
E,NT1,Laboratory,NT1-21,21-3,66.90,Construction Design,KhonKaen University,45,12.05.2017,E measured during uniaxial compression,ASTM D7012 D,,,,,,,,E50,12000.00,MPa,Laboratory,Data point,Siltstone
E,NT1,Laboratory,NT1-21,21-4,66.90,Construction Design,KhonKaen University,46,12.05.2017,E measured during uniaxial compression,ASTM D7012 D,,,,,,,,E50,7450.00,MPa,Laboratory,Data point,Siltstone
E,NT1,Laboratory,NT1-DL-01,01-01,20.60,Construction Design,KhonKaen University,47,13.05.2017,E measured during uniaxial compression,ASTM D7012 D,,,,,,,,E50,5650.00,MPa,Laboratory,Data point,Siltstone
E,NT1,Laboratory,NT1-DL-01,01-02,20.60,Construction Design,KhonKaen University,48,13.05.2017,E measured during uniaxial compression,ASTM D7012 D,,,,,,,No stiffness,E50,,MPa,Laboratory,Data point,Siltstone
E,NT1,Laboratory,NT1-DL-01,01-03,22.40,Construction Design,KhonKaen University,49,13.05.2017,E measured during uniaxial compression,ASTM D7012 D,,,,,,,,E50,27000.00,MPa,Laboratory,Data point,Siltstone
sigma_c,NT1,Laboratory,NT1-14,14-1,28.90,Construction Design,KhonKaen University,50,08.05.2017,Triaxial compression,ASTM D7012 B,s3,1.00,MPa,,,,,,90.54,MPa,Laboratory,Data point,Red Sandstone
sigma_c,NT1,Laboratory,NT1-14,14-2,28.90,Construction Design,KhonKaen University,51,08.05.2017,Triaxial compression,ASTM D7012 B,s3,3.00,MPa,,,,,,127.17,MPa,Laboratory,Data point,Red Sandstone
sigma_c,NT1,Laboratory,NT1-14,14-3,28.90,Construction Design,KhonKaen University,52,08.05.2017,Triaxial compression,ASTM D7012 B,s3,5.00,MPa,,,,,,128.55,MPa,Laboratory,Data point,Red Sandstone
sigma_c,NT1,Laboratory,NT1-14,14-4,57.85,Construction Design,KhonKaen University,53,08.05.2017,Triaxial compression,ASTM D7012 B,s3,1.00,MPa,,,,,,63.58,MPa,Laboratory,Data point,Red Sandstone
sigma_c,NT1,Laboratory,NT1-14,14-5,57.85,Construction Design,KhonKaen University,54,08.05.2017,Triaxial compression,ASTM D7012 B,s3,3.00,MPa,,,,,,87.08,MPa,Laboratory,Data point,Red Sandstone
sigma_c,NT1,Laboratory,NT1-14,14-6,57.85,Construction Design,KhonKaen University,55,08.05.2017,Triaxial compression,ASTM D7012 B,s3,5.00,MPa,,,,,,106.43,MPa,Laboratory,Data point,Red Sandstone
sigma_c,NT1,Laboratory,NT1-1,,27.10,Basic Design,,56,,Uniaxial compression,ASTM D7012 D,,,,,,,,,86.82,MPa,Laboratory,Data point,Conglomerate
sigma_c,NT1,Laboratory,NT1-1,,61.50,Basic Design,,57,,Uniaxial compression,ASTM D7012 D,,,,,,,,,75.15,MPa,Laboratory,Data point,Conglomerate
sigma_c,NT1,Laboratory,NT1-2,,22.12,Basic Design,,58,,Uniaxial compression,ASTM D7012 D,,,,,,,,,44.02,MPa,Laboratory,Data point,Siltstone
sigma_c,NT1,Laboratory,NT1-4,,11.00,Basic Design,,59,,Uniaxial compression,ASTM D7012 D,,,,,,,,,53.64,MPa,Laboratory,Data point,Siltstone
sigma_c,NT1,Laboratory,NT1-5,,64.70,Basic Design,,60,,Uniaxial compression,ASTM D7012 D,,,,,,,,,19.97,MPa,Laboratory,Data point,Siltstone
sigma_c,NT1,Laboratory,NT1-5,,82.91,Basic Design,,61,,Uniaxial compression,ASTM D7012 D,,,,,,,,,29.78,MPa,Laboratory,Data point,Siltstone
sigma_c,NT1,Laboratory,NT1-6,,39.25,Basic Design,,62,,Uniaxial compression,ASTM D7012 D,,,,,,,,,113.55,MPa,Laboratory,Data point,Conglomerate
sigma_c,NT1,Laboratory,NT1-6,,52.10,Basic Design,,63,,Uniaxial compression,ASTM D7012 D,,,,,,,,,56.94,MPa,Laboratory,Data point,Sandstone
sigma_c,NT1,Laboratory,NT1-6,,58.80,Basic Design,,64,,Uniaxial compression,ASTM D7012 D,,,,,,,,,58.69,MPa,Laboratory,Data point,Sandstone
