LINESTRING(27583.60404637 23291.13480020 1050.49520695, 27584.42352706 23301.10116620 1050.49520695)
LINESTRING(27588.25316284 23312.77390829 1050.49520695, 27589.94335163 23314.25737834 1050.49520695)
LINESTRING(27586.61417277 23310.65393938 1050.49520695, 27588.25316284 23312.77390829 1050.49520695)
LINESTRING(27584.88023421 23306.06464082 1050.49520695, 27586.61417277 23310.65393938 1050.49520695)
LINESTRING(27584.74069620 23304.95851609 1050.49520695, 27584.88023421 23306.06464082 1050.49520695)
LINESTRING(27584.42352706 23301.10116620 1050.49520695, 27584.74069620 23304.95851609 1050.49520695)
LINESTRING(27582.78456568 23281.16843419 1050.49520695, 27583.60404637 23291.13480020 1050.49520695)
LINESTRING(27772.88716840 23339.30783558 1050.49520695, 27777.43799174 23339.89076512 1050.49520695)
LINESTRING(27762.96821179 23338.03728465 1050.49520695, 27772.88716840 23339.30783558 1050.49520695)
LINESTRING(27777.43799174 23339.89076512 1050.49520695, 27777.84219219 23339.93604308 1050.49520695)
LINESTRING(27791.79799540 23328.79924528 1050.49520695, 27791.48280406 23323.90295338 1050.49520695)
LINESTRING(27790.25312190 23333.45559256 1050.49520695, 27791.79799540 23328.79924528 1050.49520695)
LINESTRING(27787.07403869 23337.19211957 1050.49520695, 27788.71076792 23335.63101439 1050.49520695)
LINESTRING(27788.71076792 23335.63101439 1050.49520695, 27790.25312190 23333.45559256 1050.49520695)
LINESTRING(27723.29238533 23332.95508090 1050.49520695, 27733.21134195 23334.22563184 1050.49520695)
LINESTRING(27589.94335163 23314.25737834 1050.49520695, 27594.38132987 23316.34844345 1050.49520695)
LINESTRING(27595.90124778 23316.63714191 1050.49520695, 27604.26490596 23317.70846968 1050.49520695)
LINESTRING(27594.38132987 23316.34844345 1050.49520695, 27595.90124778 23316.63714191 1050.49520695)
LINESTRING(27614.18386257 23318.97902062 1050.49520695, 27624.10281919 23320.24957155 1050.49520695)
LINESTRING(27604.26490596 23317.70846968 1050.49520695, 27614.18386257 23318.97902062 1050.49520695)
LINESTRING(27634.02177580 23321.52012249 1050.49520695, 27643.94073242 23322.79067342 1050.49520695)
LINESTRING(27624.10281919 23320.24957155 1050.49520695, 27634.02177580 23321.52012249 1050.49520695)
LINESTRING(27643.94073242 23322.79067342 1050.49520695, 27653.85968903 23324.06122436 1050.49520695)
LINESTRING(27663.77864564 23325.33177529 1050.49520695, 27673.69760226 23326.60232623 1050.49520695)
LINESTRING(27653.85968903 23324.06122436 1050.49520695, 27663.77864564 23325.33177529 1050.49520695)
LINESTRING(27693.53551549 23329.14342810 1050.49520695, 27703.45447210 23330.41397903 1050.49520695)
LINESTRING(27777.84219219 23339.93604308 1050.49520695, 27782.72525553 23339.46286598 1050.49520695)
LINESTRING(27743.13029856 23335.49618278 1050.49520695, 27753.04925518 23336.76673371 1050.49520695)
LINESTRING(27581.14560429 23261.23570217 1050.49520695, 27581.96508498 23271.20206818 1050.49520695)
LINESTRING(27581.96508498 23271.20206818 1050.49520695, 27582.78456568 23281.16843419 1050.49520695)
LINESTRING(27673.69760226 23326.60232623 1050.49520695, 27683.61655887 23327.87287716 1050.49520695)
LINESTRING(27753.04925518 23336.76673371 1050.49520695, 27762.96821179 23338.03728465 1050.49520695)
LINESTRING(27782.72525553 23339.46286598 1050.49520695, 27787.07403869 23337.19211957 1050.49520695)
LINESTRING(27713.37342872 23331.68452997 1050.49520695, 27723.29238533 23332.95508090 1050.49520695)
LINESTRING(27683.61655887 23327.87287716 1050.49520695, 27693.53551549 23329.14342810 1050.49520695)
LINESTRING(27580.10817185 23248.61864905 1050.49520695, 27580.32612360 23251.26933617 1050.49520695)
LINESTRING(27703.45447210 23330.41397903 1050.49520695, 27713.37342872 23331.68452997 1050.49520695)
LINESTRING(27580.32612360 23251.26933617 1050.49520695, 27581.14560429 23261.23570217 1050.49520695)
LINESTRING(27733.21134195 23334.22563184 1050.49520695, 27743.13029856 23335.49618278 1050.49520695)
LINESTRING(27580.12657129 23246.31128768 1050.49520695, 27580.10817185 23248.61864905 1050.49520695)
LINESTRING(27581.53082545 23241.61062023 1050.49520695, 27580.12657129 23246.31128768 1050.49520695)
LINESTRING(27582.42469611 23240.15054337 1050.49520695, 27581.53082545 23241.61062023 1050.49520695)
LINESTRING(27584.59619161 23237.78025021 1050.49520695, 27582.42469611 23240.15054337 1050.49520695)
LINESTRING(27588.87477571 23235.37984977 1050.49520695, 27584.59619161 23237.78025021 1050.49520695)
LINESTRING(27589.64245005 23235.15263116 1050.49520695, 27588.87477571 23235.37984977 1050.49520695)
LINESTRING(27598.53057421 23232.82068824 1050.49520695, 27589.64245005 23235.15263116 1050.49520695)
LINESTRING(27608.20320173 23230.28291818 1050.49520695, 27598.53057421 23232.82068824 1050.49520695)
LINESTRING(27617.87582925 23227.74514813 1050.49520695, 27608.20320173 23230.28291818 1050.49520695)
LINESTRING(27627.54845677 23225.20737808 1050.49520695, 27617.87582925 23227.74514813 1050.49520695)
LINESTRING(27637.22108429 23222.66960803 1050.49520695, 27627.54845677 23225.20737808 1050.49520695)
LINESTRING(27646.89371182 23220.13183798 1050.49520695, 27637.22108429 23222.66960803 1050.49520695)
LINESTRING(27656.56633934 23217.59406793 1050.49520695, 27646.89371182 23220.13183798 1050.49520695)
LINESTRING(27666.23896686 23215.05629788 1050.49520695, 27656.56633934 23217.59406793 1050.49520695)
LINESTRING(27675.91159438 23212.51852783 1050.49520695, 27666.23896686 23215.05629788 1050.49520695)
LINESTRING(27685.58422190 23209.98075777 1050.49520695, 27675.91159438 23212.51852783 1050.49520695)
LINESTRING(27695.25684942 23207.44298772 1050.49520695, 27685.58422190 23209.98075777 1050.49520695)
LINESTRING(27704.92947694 23204.90521767 1050.49520695, 27695.25684942 23207.44298772 1050.49520695)
LINESTRING(27714.60210446 23202.36744762 1050.49520695, 27704.92947694 23204.90521767 1050.49520695)
LINESTRING(27724.27473199 23199.82967757 1050.49520695, 27714.60210446 23202.36744762 1050.49520695)
LINESTRING(27733.94735951 23197.29190752 1050.49520695, 27724.27473199 23199.82967757 1050.49520695)
LINESTRING(27743.61998703 23194.75413747 1050.49520695, 27733.94735951 23197.29190752 1050.49520695)
LINESTRING(27744.28538094 23194.57956063 1050.49520695, 27743.61998703 23194.75413747 1050.49520695)
LINESTRING(27748.50561656 23194.19563225 1050.49520695, 27744.28538094 23194.57956063 1050.49520695)
LINESTRING(27753.23715725 23195.49206075 1050.49520695, 27748.50561656 23194.19563225 1050.49520695)
LINESTRING(27754.01752777 23195.91260445 1050.49520695, 27753.23715725 23195.49206075 1050.49520695)
LINESTRING(27757.13660147 23198.46906242 1050.49520695, 27754.01752777 23195.91260445 1050.49520695)
LINESTRING(27759.63418435 23202.69165451 1050.49520695, 27757.13660147 23198.46906242 1050.49520695)
LINESTRING(27759.95659191 23203.73687664 1050.49520695, 27759.63418435 23202.69165451 1050.49520695)
LINESTRING(27762.21302241 23212.33754200 1050.49520695, 27759.95659191 23203.73687664 1050.49520695)
LINESTRING(27764.75069465 23222.01019519 1050.49520695, 27762.21302241 23212.33754200 1050.49520695)
LINESTRING(27767.28836688 23231.68284837 1050.49520695, 27764.75069465 23222.01019519 1050.49520695)
LINESTRING(27769.82603911 23241.35550156 1050.49520695, 27767.28836688 23231.68284837 1050.49520695)
LINESTRING(27772.36371135 23251.02815474 1050.49520695, 27769.82603911 23241.35550156 1050.49520695)
LINESTRING(27774.90138358 23260.70080793 1050.49520695, 27772.36371135 23251.02815474 1050.49520695)
LINESTRING(27777.43905582 23270.37346111 1050.49520695, 27774.90138358 23260.70080793 1050.49520695)
LINESTRING(27779.97672805 23280.04611429 1050.49520695, 27777.43905582 23270.37346111 1050.49520695)
LINESTRING(27782.51440028 23289.71876748 1050.49520695, 27779.97672805 23280.04611429 1050.49520695)
LINESTRING(27785.05207252 23299.39142066 1050.49520695, 27782.51440028 23289.71876748 1050.49520695)
LINESTRING(27787.58974475 23309.06407385 1050.49520695, 27785.05207252 23299.39142066 1050.49520695)
LINESTRING(27790.12741698 23318.73672703 1050.49520695, 27787.58974475 23309.06407385 1050.49520695)
LINESTRING(27791.48280406 23323.90295338 1050.49520695, 27790.12741698 23318.73672703 1050.49520695)
