structure_id,structure_name,structure_type,anchor_id,anchor_type,steel_tensile_strength_char,steel_xsect_area,anchor_load_char_calculation_method,anchor_load_char,warning_value_calculation_method,alarm_value_calculation_method,warning_value,alarm_value,installation_date,installed_anchor_load,measurement_date,measured_anchor_load,stress_unit,force_unit,area_unit
Bauwerk ID,Bauwerk,Bauwerktyp,Anker ID,Ankertyp,zul. Stahlfestigkeit,Stahlquerschnitt,Berechnungsmethode zul. Ankerkraft,zul. Ankerkraft,Berechnungsmethode Aufmerksamkeitswert,Berechnungsmethode Interventionswert,Aufmerksamkeitswert,Interventionswert,Baujahr,installierte Ankerkraft,Messdatum,gemssene Ankerkrfaft,Spannungseinheit,Krafteinheit,Flächeneinheit
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,1A.u,,1770,,,,,,,,1984,1000,1984,1000,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,1A.o,,1770,,,,,,,,1984,1000,1984,1000,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,1B.u,,1770,,,,,,,,1984,1000,1984,1000,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,1B.o,,1770,,,,,,,,1984,1000,1984,1000,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,2A.u,,1770,,,,,,,,1984,1000,1984,1000,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,2A.o,,1770,,,,,,,,1984,1000,1984,1000,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,2B.u,,1770,,,,,,,,1984,1000,1984,1000,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,2B.o,,1770,,,,,,,,1984,1000,1984,1000,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,3A.u,,1770,,,,,,,,1984,1000,1984,1000,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,3A.o,,1770,,,,,,,,1984,500,1984,500,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,3B.u,,1770,,,,,,,,1984,1000,1984,1000,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,3B.o,,1770,,,,,,,,1984,500,1984,500,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,4A,,1770,,,,,,,,1984,800,1984,800,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,4B,,1770,,,,,,,,1984,800,1984,800,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,5A,,1770,,,,,,,,1984,1000,1984,1000,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,5B,,1770,,,,,,,,1984,1000,1984,1000,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,6A,,1770,,,,,,,,1984,1000,1984,1000,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,6B,,1770,,,,,,,,1984,1000,1984,1000,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,7A.u,,1770,,,,,,,,1984,700,1984,700,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,7A.o,,1770,,,,,,,,1984,700,1984,700,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,7B.u,,1770,,,,,,,,1984,700,1984,700,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,7B.o,,1770,,,,,,,,1984,700,1984,700,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,8A.u,,1770,,,,,,,,1984,700,1984,700,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,8A.o,,1770,,,,,,,,1984,700,1984,700,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,8B.u,,1770,,,,,,,,1984,700,1984,700,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,8B.o,,1770,,,,,,,,1984,700,1984,700,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,8C,,1770,,,,,,,,1984,700,1984,700,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,1A.u,,1770,,,,,,,,1984,1000,1994,1130,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,1A.o,,1770,,,,,,,,1984,1000,1994,1090,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,1B.u,,1770,,,,,,,,1984,1000,1994,1070,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,1B.o,,1770,,,,,,,,1984,1000,1994,1125,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,2A.u,,1770,,,,,,,,1984,1000,1994,1080,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,2A.o,,1770,,,,,,,,1984,1000,1994,1050,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,2B.u,,1770,,,,,,,,1984,1000,1994,1090,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,2B.o,,1770,,,,,,,,1984,1000,1994,1080,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,3A.u,,1770,,,,,,,,1984,1000,1994,1090,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,3A.o,,1770,,,,,,,,1984,500,1994,580,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,3B.u,,1770,,,,,,,,1984,1000,1994,1130,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,3B.o,,1770,,,,,,,,1984,500,1994,600,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,4A,,1770,,,,,,,,1984,800,1994,1130,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,4B,,1770,,,,,,,,1984,800,1994,120,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,5A,,1770,,,,,,,,1984,1000,1994,1210,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,5B,,1770,,,,,,,,1984,1000,1994,1090,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,6A,,1770,,,,,,,,1984,1000,1994,1100,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,6B,,1770,,,,,,,,1984,1000,1994,1100,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,7A.u,,1770,,,,,,,,1984,700,1994,830,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,7A.o,,1770,,,,,,,,1984,700,1994,820,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,7B.u,,1770,,,,,,,,1984,700,1994,800,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,7B.o,,1770,,,,,,,,1984,700,1994,790,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,8A.u,,1770,,,,,,,,1984,700,1994,800,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,8A.o,,1770,,,,,,,,1984,700,1994,860,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,8B.u,,1770,,,,,,,,1984,700,1994,760,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,8B.o,,1770,,,,,,,,1984,700,1994,840,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,8C,,1770,,,,,,,,1984,700,1994,830,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,1A.u,,1770,,,,,,,,1984,1000,1996,1065,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,1A.o,,1770,,,,,,,,1984,1000,1996,1110,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,1B.u,,1770,,,,,,,,1984,1000,1996,1045,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,1B.o,,1770,,,,,,,,1984,1000,1996,1075,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,2A.u,,1770,,,,,,,,1984,1000,1996,1088,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,2A.o,,1770,,,,,,,,1984,1000,1996,1055,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,2B.u,,1770,,,,,,,,1984,1000,1996,1075,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,2B.o,,1770,,,,,,,,1984,1000,1996,1060,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,3A.u,,1770,,,,,,,,1984,1000,1996,1135,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,3A.o,,1770,,,,,,,,1984,500,1996,595,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,3B.u,,1770,,,,,,,,1984,1000,1996,1090,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,3B.o,,1770,,,,,,,,1984,500,1996,580,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,4A,,1770,,,,,,,,1984,800,1996,1110,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,4B,,1770,,,,,,,,1984,800,1996,1120,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,5A,,1770,,,,,,,,1984,1000,1996,1100,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,5B,,1770,,,,,,,,1984,1000,1996,1200,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,6A,,1770,,,,,,,,1984,1000,1996,1090,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,6B,,1770,,,,,,,,1984,1000,1996,1092,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,7A.u,,1770,,,,,,,,1984,700,1996,795,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,7A.o,,1770,,,,,,,,1984,700,1996,790,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,7B.u,,1770,,,,,,,,1984,700,1996,820,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,7B.o,,1770,,,,,,,,1984,700,1996,808,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,8A.u,,1770,,,,,,,,1984,700,1996,810,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,8A.o,,1770,,,,,,,,1984,700,1996,832,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,8B.u,,1770,,,,,,,,1984,700,1996,793,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,8B.o,,1770,,,,,,,,1984,700,1996,855,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,8C,,1770,,,,,,,,1984,700,1996,760,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,1A.u,,1770,,,,,,,,1984,1000,2004,1025,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,1A.o,,1770,,,,,,,,1984,1000,2004,1110,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,1B.u,,1770,,,,,,,,1984,1000,2004,956,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,1B.o,,1770,,,,,,,,1984,1000,2004,1048,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,2A.u,,1770,,,,,,,,1984,1000,2004,1058,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,2A.o,,1770,,,,,,,,1984,1000,2004,1050,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,2B.u,,1770,,,,,,,,1984,1000,2004,1055,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,2B.o,,1770,,,,,,,,1984,1000,2004,1035,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,3A.u,,1770,,,,,,,,1984,1000,2004,1094,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,3A.o,,1770,,,,,,,,1984,500,2004,570,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,3B.u,,1770,,,,,,,,1984,1000,2004,1066,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,3B.o,,1770,,,,,,,,1984,500,2004,562,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,4A,,1770,,,,,,,,1984,800,2004,1080,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,4B,,1770,,,,,,,,1984,800,2004,1104,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,5A,,1770,,,,,,,,1984,1000,2004,1067,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,5B,,1770,,,,,,,,1984,1000,2004,1165,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,6A,,1770,,,,,,,,1984,1000,2004,1054,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,6B,,1770,,,,,,,,1984,1000,2004,1063,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,7A.u,,1770,,,,,,,,1984,700,2004,740,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,7A.o,,1770,,,,,,,,1984,700,2004,760,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,7B.u,,1770,,,,,,,,1984,700,2004,782,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,7B.o,,1770,,,,,,,,1984,700,2004,783,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,8A.u,,1770,,,,,,,,1984,700,2004,780,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,8A.o,,1770,,,,,,,,1984,700,2004,804,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,8B.u,,1770,,,,,,,,1984,700,2004,762,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,8B.o,,1770,,,,,,,,1984,700,2004,829,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,8C,,1770,,,,,,,,1984,700,2004,713,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,1A.u,,1770,,,,,,,,1984,1000,2010,1042,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,1A.o,,1770,,,,,,,,1984,1000,2010,1106,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,1B.u,,1770,,,,,,,,1984,1000,2010,1132,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,1B.o,,1770,,,,,,,,1984,1000,2010,718,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,2A.u,,1770,,,,,,,,1984,1000,2010,1076,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,2A.o,,1770,,,,,,,,1984,1000,2010,1061,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,2B.u,,1770,,,,,,,,1984,1000,2010,1060,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,2B.o,,1770,,,,,,,,1984,1000,2010,1047,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,3A.u,,1770,,,,,,,,1984,1000,2010,1098,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,3A.o,,1770,,,,,,,,1984,500,2010,595,MPa,kN,mm
SM5,"N8, Bönigen-Iseltwald, Sm 5",Stützmauer,3B.u,,1770,,,,,,,,1984,1000,2010,1081,MPa,kN,mm
