,Station,Easting,Northing,Elevation,DTM,RockSurface,StationReal,RockCover,WBScode,WorkType,ExcavationType,ProfileType,SectionArea,Description,Unit,BoreClass,SupportClass,DisposalClass,StationInterval,ExcavationVolume,DisposalVolume
0,204+874.1,2612071.548,1269294.122,270.962,253.524,236.0,204874.1,-34.962,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,1.90082797744,NaN,NaN
1,204+876,2612072.991,1269295.359,270.989,253.612,236.0,204876.0,-34.989,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.99986683037,NaN,NaN
2,204+879,2612075.303,1269297.27,271.033,253.16,236.0,204879.0,-35.033,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.99984099597,NaN,NaN
3,204+882,2612077.657,1269299.129,271.076,253.16,235.815,204882.0,-35.261,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00053495234,NaN,NaN
4,204+885,2612080.052,1269300.936,271.12,252.934,235.815,204885.0,-35.305,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0006804229,NaN,NaN
5,204+888,2612082.487,1269302.689,271.163,252.934,235.815,204888.0,-35.348,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.99988683088,NaN,NaN
6,204+891,2612084.959,1269304.388,271.207,252.934,235.815,204891.0,-35.392,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00023299111,NaN,NaN
7,204+894,2612087.469,1269306.031,271.25,252.574,235.815,204894.0,-35.435,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00011749763,NaN,NaN
8,204+897,2612090.014,1269307.619,271.294,252.013,235.815,204897.0,-35.479,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00036831077,NaN,NaN
9,204+900,2612092.594,1269309.15,271.337,252.013,235.707,204900.0,-35.63,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00077673283,NaN,NaN
10,204+903,2612095.208,1269310.623,271.381,251.805,235.707,204903.0,-35.674,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00001649999,NaN,NaN
11,204+906,2612097.853,1269312.038,271.424,251.805,235.707,204906.0,-35.717,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00027465414,NaN,NaN
12,204+909,2612100.529,1269313.394,271.468,251.631,235.707,204909.0,-35.761,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.99974832278,NaN,NaN
13,204+912,2612103.234,1269314.69,271.511,251.631,235.707,204912.0,-35.804,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00114328187,NaN,NaN
14,204+915,2612105.968,1269315.927,271.555,251.149,235.707,204915.0,-35.848,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00001233355,NaN,NaN
15,204+918,2612108.728,1269317.102,271.598,251.149,235.707,204918.0,-35.891,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.99985949644,NaN,NaN
16,204+921,2612111.513,1269318.216,271.642,251.157,235.707,204921.0,-35.935,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00077539981,NaN,NaN
17,204+924,2612114.323,1269319.268,271.685,251.157,236.0,204924.0,-35.685,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00004683293,NaN,NaN
18,204+927,2612117.155,1269320.257,271.729,250.696,236.0,204927.0,-35.729,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,0.636946622851,NaN,NaN
19,204+927.637,2612117.759,1269320.459,271.738,250.696,236.0,204927.637,-35.738,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.36289356492,NaN,NaN
20,204+930,2612120.008,1269321.183,271.771,250.666,236.0,204930.0,-35.771,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00008299902,NaN,NaN
21,204+933,2612122.881,1269322.046,271.811,250.666,236.0,204933.0,-35.811,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00056011434,NaN,NaN
22,204+936,2612125.773,1269322.845,271.847,250.637,236.0,204936.0,-35.847,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00058827567,NaN,NaN
23,204+939,2612128.682,1269323.58,271.879,250.637,236.0,204939.0,-35.879,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.9999293326,NaN,NaN
24,204+942,2612131.606,1269324.25,271.909,250.638,236.0,204942.0,-35.909,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.99975749027,NaN,NaN
25,204+945,2612134.544,1269324.855,271.935,250.638,235.707,204945.0,-36.228,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00008833193,NaN,NaN
26,204+948,2612137.495,1269325.395,271.958,248.991,235.707,204948.0,-36.251,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.99975332301,NaN,NaN
27,204+951,2612140.457,1269325.869,271.978,249.589,235.707,204951.0,-36.271,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.99991733227,NaN,NaN
28,204+954,2612143.429,1269326.277,271.994,249.589,235.707,204954.0,-36.287,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.99970298529,NaN,NaN
29,204+957,2612146.409,1269326.62,272.007,250.456,235.707,204957.0,-36.3,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00073657612,NaN,NaN
30,204+960,2612149.397,1269326.896,272.017,250.456,235.707,204960.0,-36.31,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.99943678056,NaN,NaN
31,204+963,2612152.389,1269327.107,272.023,250.596,235.707,204963.0,-36.316,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00046013135,NaN,NaN
32,204+966,2612155.386,1269327.251,272.027,250.735,235.667,204966.0,-36.36,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.99998833315,NaN,NaN
33,204+969,2612158.385,1269327.328,272.027,250.735,235.667,204969.0,-36.36,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.99902284116,NaN,NaN
34,204+972,2612161.384,1269327.339,272.023,250.795,235.667,204972.0,-36.356,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00051012329,NaN,NaN
35,204+975,2612164.384,1269327.284,272.017,250.795,235.667,204975.0,-36.35,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.99949879144,NaN,NaN
36,204+978,2612167.381,1269327.162,272.007,250.881,235.667,204978.0,-36.34,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.99998766659,NaN,NaN
37,204+981,2612170.375,1269326.973,271.994,250.954,235.667,204981.0,-36.327,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.99990033173,NaN,NaN
38,204+984,2612173.364,1269326.718,271.978,250.954,235.667,204984.0,-36.311,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00018149452,NaN,NaN
39,204+987,2612176.347,1269326.398,271.958,250.981,236.0,204987.0,-35.958,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0001538295,NaN,NaN
40,204+990,2612179.322,1269326.011,271.935,250.981,236.0,204990.0,-35.935,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00050679054,NaN,NaN
41,204+993,2612182.288,1269325.558,271.909,251.008,236.0,204993.0,-35.909,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.99922323267,NaN,NaN
42,204+996,2612185.242,1269325.04,271.879,250.956,236.0,204996.0,-35.879,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00055478201,NaN,NaN
43,204+999,2612188.185,1269324.456,271.847,251.137,236.0,204999.0,-35.847,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00004016641,NaN,NaN
44,205+002,2612191.114,1269323.808,271.811,251.031,236.0,205002.0,-35.811,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00046529711,NaN,NaN
45,205+005,2612194.028,1269323.094,271.771,251.031,236.0,205005.0,-35.771,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.99994283266,NaN,NaN
46,205+008,2612196.925,1269322.316,271.729,251.037,236.0,205008.0,-35.729,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00091319474,NaN,NaN
47,205+011,2612199.805,1269321.474,271.683,251.037,236.0,205011.0,-35.683,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00017099501,NaN,NaN
48,205+014,2612202.665,1269320.569,271.634,251.048,236.0,205014.0,-35.634,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,0.0262678509584,NaN,NaN
49,205+014.027,2612202.69,1269320.561,271.633,251.048,236.0,205014.027,-35.633,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.05469147373,NaN,NaN
50,205+017,2612205.596,1269319.621,271.581,254.267,236.0,205017.0,-35.581,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00066625934,NaN,NaN
51,205+020,2612208.434,1269318.648,271.526,254.267,235.5,205020.0,-36.026,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.99947695435,NaN,NaN
52,205+023,2612211.249,1269317.614,271.467,254.397,235.5,205023.0,-35.967,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00064043169,NaN,NaN
53,205+026,2612214.042,1269316.519,271.404,254.397,235.5,205026.0,-35.904,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00093502126,NaN,NaN
54,205+029,2612216.811,1269315.364,271.339,254.195,235.5,205029.0,-35.839,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00054011802,NaN,NaN
55,205+032,2612219.555,1269314.152,271.27,254.26,236.0,205032.0,-35.27,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00093452101,NaN,NaN
56,205+035,2612222.273,1269312.882,271.198,254.191,236.0,205035.0,-35.198,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00089686598,NaN,NaN
57,205+038,2612224.964,1269311.556,271.123,254.191,236.0,205038.0,-35.123,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00171584256,NaN,NaN
58,205+041,2612227.628,1269310.175,271.044,254.121,236.0,205041.0,-35.044,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00065076285,NaN,NaN
59,205+044,2612230.262,1269308.74,270.962,254.06,236.0,205044.0,-34.962,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00123208026,NaN,NaN
60,205+047,2612232.867,1269307.252,270.877,254.06,236.0,205047.0,-34.877,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00114811345,NaN,NaN
61,205+050,2612235.442,1269305.713,270.789,254.075,236.0,205050.0,-34.789,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00141633257,NaN,NaN
62,205+053,2612237.986,1269304.123,270.697,249.572,236.0,205053.0,-34.697,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00146114421,NaN,NaN
63,205+056,2612240.498,1269302.483,270.602,251.502,236.0,205056.0,-34.602,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00099533482,NaN,NaN
64,205+059,2612242.978,1269300.796,270.504,251.502,236.0,205059.0,-34.504,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00222134422,NaN,NaN
65,205+062,2612245.426,1269299.061,270.402,249.92,236.0,205062.0,-34.402,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0144838696,NaN,NaN
66,205+065,2612247.85,1269297.272,270.298,249.92,235.5,205065.0,-34.798,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.98944576812,NaN,NaN
67,205+068,2612250.299,1269295.561,270.19,250.088,235.5,205068.0,-34.69,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.002211518,NaN,NaN
68,205+071,2612252.738,1269293.814,270.078,250.242,235.5,205071.0,-34.578,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00172367149,NaN,NaN
69,205+074,2612255.156,1269292.039,269.964,250.5,235.5,205074.0,-34.464,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00192138483,NaN,NaN
70,205+077,2612257.554,1269290.237,269.846,250.5,235.5,205077.0,-34.346,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00288711066,NaN,NaN
71,205+080,2612259.931,1269288.406,269.725,251.71,236.0,205080.0,-33.725,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00246731874,NaN,NaN
72,205+083,2612262.287,1269286.549,269.6,250.856,236.0,205083.0,-33.6,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00218936767,NaN,NaN
73,205+086,2612264.621,1269284.665,269.473,254.024,236.0,205086.0,-33.473,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00380991416,NaN,NaN
74,205+089,2612266.934,1269282.753,269.342,251.585,236.0,205089.0,-33.342,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00238138814,NaN,NaN
75,205+092,2612269.224,1269280.816,269.207,251.585,236.0,205092.0,-33.207,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00396704393,NaN,NaN
76,205+095,2612271.492,1269278.851,269.07,254.116,236.0,205095.0,-33.07,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00258505287,NaN,NaN
77,205+098,2612273.736,1269276.861,268.929,254.116,235.5,205098.0,-33.429,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00371037228,NaN,NaN
78,205+101,2612275.958,1269274.845,268.785,254.087,235.5,205101.0,-33.285,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00308075137,NaN,NaN
79,205+104,2612278.156,1269272.804,268.638,254.087,235.5,205104.0,-33.138,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00431606183,NaN,NaN
80,205+107,2612280.331,1269270.737,268.487,252.675,236.0,205107.0,-32.487,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00308125126,NaN,NaN
81,205+110,2612282.481,1269268.646,268.333,253.978,236.0,205110.0,-32.333,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00507354299,NaN,NaN
82,205+113,2612284.608,1269266.529,268.176,253.978,236.0,205113.0,-32.176,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00469732254,NaN,NaN
83,205+116,2612286.71,1269264.388,268.015,253.968,236.0,205116.0,-32.015,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0032051212,NaN,NaN
84,205+119,2612288.786,1269262.224,267.852,253.968,236.0,205119.0,-31.852,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00504808624,NaN,NaN
85,205+122,2612290.838,1269260.035,267.685,254.002,236.0,205122.0,-31.685,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00514791652,NaN,NaN
86,205+125,2612292.865,1269257.823,267.514,254.098,236.0,205125.0,-31.514,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,0.545345761789,NaN,NaN
87,205+125.545,2612293.23,1269257.419,267.483,254.098,236.0,205125.545,-31.483,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.45879381015,NaN,NaN
88,205+128,2612294.865,1269255.588,267.342,254.098,235.5,205128.0,-31.842,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00560060535,NaN,NaN
89,205+131,2612296.84,1269253.329,267.169,254.279,235.5,205131.0,-31.669,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00518651666,NaN,NaN
90,205+134,2612298.789,1269251.048,266.997,254.279,235.5,205134.0,-31.497,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00463342194,NaN,NaN
91,205+137,2612300.711,1269248.745,266.824,254.44,236.0,205137.0,-30.824,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00436915191,NaN,NaN
92,205+140,2612302.606,1269246.42,266.652,254.44,236.0,205140.0,-30.652,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00524524773,NaN,NaN
